pedestrian,1203,308,25,29
bicycle,1348,165,37,28
car,1070,325,112,61
car,1000,440,52,94
car,790,470,54,103
car,1012,587,51,99
car,1003,280,54,100
car,986,129,56,104
car,1762,253,98,75
car,1565,665,98,95
car,935,400,49,102
car,1589,606,103,48
car,847,303,49,94
car,1246,400,127,54
car,1402,411,88,42
car,438,486,107,52
car,925,222,55,103
car,956,827,52,112
car,1351,341,95,44
car,1786,648,81,107
car,155,493,108,49
car,1653,684,84,91
car,313,489,108,50
car,1847,648,54,108
car,1709,653,83,104
car,1029,844,49,111
car,729,155,78,122
van,1179,78,78,43
van,739,158,68,125
truck,1331,737,122,55
bus,920,235,67,92
motor,639,555,40,30
motor,668,616,42,30
motor,1076,537,28,36
motor,1238,340,41,24
motor,789,663,25,49
motor,1155,305,30,24
motor,1345,262,31,30
motor,1537,746,37,50
