pedestrian,1145,925,63,131
pedestrian,710,871,53,110
pedestrian,647,910,62,119
pedestrian,2595,397,32,63
pedestrian,1031,197,29,46
pedestrian,2349,445,29,61
pedestrian,2163,748,56,109
pedestrian,2536,447,39,66
people,931,979,65,108
people,1471,514,35,71
people,905,1339,96,127
people,2604,923,71,108
people,1035,504,31,61
people,1417,425,29,51
people,876,338,34,53
people,1559,582,38,62
people,2071,913,68,103
people,1840,657,44,78
people,2163,744,54,93
people,1805,566,45,74
people,2628,662,49,86
people,1574,539,34,70
people,1405,434,40,62
bicycle,867,1385,170,114
bicycle,1391,453,69,49
bicycle,1456,542,55,56
bicycle,1840,679,50,70
bicycle,2158,772,67,95
bicycle,1790,587,67,62
bicycle,1033,518,34,62
bicycle,26,867,54,88
bicycle,2608,688,76,75
bicycle,814,730,44,99
car,1153,620,178,127
car,892,665,152,150
car,1093,498,141,99
car,1155,371,95,75
car,871,423,145,77
car,283,403,170,70
car,1441,1124,346,305
car,1122,315,65,61
car,440,345,176,71
car,1090,809,251,123
car,303,1068,395,190
car,713,372,147,70
car,973,196,58,55
car,1434,730,251,109
car,2581,449,96,76
car,4,1016,134,201
car,2099,347,130,60
van,1915,346,71,59
van,13,1227,180,238
van,1908,304,65,46
bus,1154,625,173,135
bus,887,661,165,173
motor,1533,592,80,71
motor,2065,928,76,119
motor,918,1003,98,110
motor,1457,533,49,69
motor,857,355,69,47
motor,2594,946,77,111
motor,1055,157,20,36
motor,1751,676,63,83
motor,805,444,36,52
motor,813,737,46,96
motor,693,912,60,93
motor,933,600,39,59
motor,853,464,46,58
motor,2384,495,61,40
motor,1060,436,49,54
