pedestrian,1593,591,23,23
pedestrian,658,6,17,31
people,1600,743,23,48
bicycle,1600,775,48,36
bicycle,1627,767,24,35
car,1007,391,59,112
car,1073,582,77,123
car,819,859,63,114
car,974,193,58,98
car,937,381,56,116
car,860,692,60,106
car,960,782,56,108
car,841,147,52,112
car,1627,658,110,106
car,1042,232,114,100
car,769,95,59,106
car,1650,595,114,56
car,397,463,123,61
car,1258,309,111,52
car,1739,647,129,118
car,100,463,130,65
car,935,0,50,71
car,263,460,127,62
car,1720,681,98,95
car,641,758,114,87
car,1778,644,110,114
van,1200,21,86,52
van,1443,380,111,51
van,1273,370,149,65
truck,253,334,145,80
tricycle,805,1029,29,36
tricycle,129,992,45,42
awning-tricycle,129,991,49,46
awning-tricycle,1577,1009,26,31
awning-tricycle,1378,735,124,63
motor,1214,271,30,29
motor,1374,284,32,33
motor,1081,909,20,36
motor,1086,441,18,32
motor,620,540,39,26
motor,1283,0,39,19
motor,1180,334,38,21
motor,1097,369,20,34
motor,775,899,17,29
motor,1004,669,19,35
