pedestrian,1516,53,29,53
bicycle,1573,752,46,54
bicycle,1373,127,39,34
car,1011,484,56,106
car,811,732,57,110
car,857,545,53,104
car,414,473,112,55
car,1050,276,115,75
car,991,311,56,97
car,1607,663,100,98
car,1287,316,107,54
car,1054,672,58,128
car,940,553,53,115
car,931,141,53,100
car,1266,379,137,60
car,1629,601,107,47
car,1000,85,48,98
car,960,929,51,101
car,1430,392,92,44
car,1809,225,93,80
car,122,479,113,50
car,1837,649,65,108
car,279,469,119,59
car,1754,647,92,112
car,501,326,124,83
car,1695,679,92,99
car,1194,39,82,44
car,836,1,57,63
car,929,2,48,68
van,1199,41,83,46
truck,494,327,134,81
truck,1356,739,122,56
bus,840,912,69,151
motor,627,546,40,31
motor,1373,276,31,36
motor,1575,747,45,60
motor,1154,281,32,24
motor,1202,326,40,27
motor,1388,171,30,42
motor,1089,424,22,35
